node,entrez,gene_name,initial,ppion
438.0,10121,ACTR1A,TRUE,FALSE
439.0,338699,ANKRD42,TRUE,FALSE
440.0,830,CAPZA2,TRUE,FALSE
441.0,57705,WDFY4,TRUE,FALSE
442.0,3292,HSD17B1,TRUE,FALSE
443.0,5533,PPP3CC,TRUE,FALSE
444.0,114881,OSBPL7,TRUE,FALSE
445.0,9462,RASAL2,TRUE,FALSE
446.0,9693,RAPGEF2,TRUE,FALSE
447.0,200916,RPL22L1,TRUE,FALSE
448.0,5287,PIK3C2B,TRUE,FALSE
449.0,389677,RBM12B,TRUE,FALSE
450.0,10483,SEC23B,TRUE,FALSE
451.0,7417,VDAC2,TRUE,FALSE
452.0,116984,ARAP2,TRUE,FALSE
453.0,5094,PCBP2,TRUE,FALSE
454.0,5516,PPP2CB,TRUE,FALSE
455.0,5578,PRKCA,TRUE,FALSE
456.0,10938,EHD1,TRUE,FALSE
457.0,6101,RP1,TRUE,FALSE
458.0,4067,LYN,TRUE,FALSE
459.0,9114,ATP6V0D1,TRUE,FALSE
460.0,5894,RAF1,TRUE,FALSE
461.0,5878,RAB5C,TRUE,FALSE
462.0,829,CAPZA1,TRUE,FALSE
463.0,966,CD59,TRUE,FALSE
464.0,80206,FHOD3,TRUE,FALSE
465.0,126432,RINL,TRUE,FALSE
466.0,55793,MINDY1,TRUE,FALSE
467.0,84210,ANKRD20A1,TRUE,FALSE
468.0,5132,PDC,TRUE,FALSE
469.0,81624,DIAPH3,TRUE,FALSE
470.0,890,CCNA2,TRUE,FALSE
471.0,140460,ASB7,TRUE,FALSE
472.0,55803,ADAP2,TRUE,FALSE
473.0,4919,ROR1,TRUE,FALSE
474.0,51665,ASB1,TRUE,FALSE
475.0,3301,DNAJA1,TRUE,FALSE
476.0,445328,ARHGEF35,TRUE,FALSE
477.0,7430,EZR,TRUE,FALSE
478.0,3656,IRAK2,TRUE,FALSE
479.0,57172,CAMK1G,TRUE,FALSE
480.0,26031,OSBPL3,TRUE,FALSE
481.0,4660,PPP1R12B,TRUE,FALSE
482.0,8395,PIP5K1B,TRUE,FALSE
483.0,23048,FNBP1,TRUE,FALSE
484.0,3646,EIF3E,TRUE,FALSE
485.0,23370,ARHGEF18,TRUE,FALSE
486.0,256536,TCERG1L,TRUE,FALSE
487.0,660,BMX,TRUE,FALSE
488.0,26051,PPP1R16B,TRUE,FALSE
489.0,25,ABL1,TRUE,FALSE
490.0,27292,DIMT1,TRUE,FALSE
491.0,23263,MCF2L,TRUE,FALSE
492.0,111,ADCY5,TRUE,FALSE
493.0,11214,AKAP13,TRUE,FALSE
494.0,23265,EXOC7,TRUE,FALSE
495.0,23431,AP4E1,TRUE,FALSE
496.0,81027,TUBB1,TRUE,FALSE
497.0,57704,GBA2,TRUE,FALSE
498.0,100131244,ANKRD63,TRUE,FALSE
499.0,91703,ACY3,TRUE,FALSE
500.0,55958,KLHL9,TRUE,FALSE
501.0,93035,PKHD1L1,TRUE,FALSE
502.0,51332,SPTBN5,TRUE,FALSE
503.0,2348,FOLR1,TRUE,FALSE
504.0,659,BMPR2,TRUE,FALSE
505.0,5607,MAP2K5,TRUE,FALSE
506.0,57563,KLHL8,TRUE,FALSE
507.0,10239,AP3S2,TRUE,FALSE
508.0,23365,ARHGEF12,TRUE,FALSE
509.0,26037,SIPA1L1,TRUE,FALSE
510.0,55872,PBK,TRUE,FALSE
511.0,55174,INTS10,TRUE,FALSE
512.0,83452,RAB33B,TRUE,FALSE
513.0,107,ADCY1,TRUE,FALSE
514.0,55737,VPS35,TRUE,FALSE
515.0,63926,ANKEF1,TRUE,FALSE
516.0,2986,GUCY2F,TRUE,FALSE
517.0,3717,JAK2,TRUE,FALSE
518.0,53632,PRKAG3,TRUE,FALSE
519.0,2047,EPHB1,TRUE,FALSE
520.0,2778,GNAS,TRUE,FALSE
521.0,2885,GRB2,TRUE,FALSE
522.0,4478,MSN,TRUE,FALSE
523.0,9262,STK17B,TRUE,FALSE
524.0,4640,MYO1A,TRUE,FALSE
525.0,441869,ANKRD65,TRUE,FALSE
526.0,2049,EPHB3,TRUE,FALSE
527.0,56924,PAK6,TRUE,FALSE
528.0,9363,RAB33A,TRUE,FALSE
529.0,54915,YTHDF1,TRUE,FALSE
530.0,5562,PRKAA1,TRUE,FALSE
531.0,284353,NKPD1,TRUE,FALSE
532.0,8615,USO1,TRUE,FALSE
533.0,1062,CENPE,TRUE,FALSE
534.0,8844,KSR1,TRUE,FALSE
535.0,1983,EIF5,TRUE,FALSE
536.0,51542,VPS54,TRUE,FALSE
537.0,22852,ANKRD26,TRUE,FALSE
538.0,55367,PIDD1,TRUE,FALSE
539.0,3833,KIFC1,TRUE,FALSE
540.0,202374,STK32A,TRUE,FALSE
541.0,1500,CTNND1,TRUE,FALSE
542.0,1459,CSNK2A2,TRUE,FALSE
543.0,2314,FLII,TRUE,FALSE
544.0,57636,ARHGAP23,TRUE,FALSE
545.0,8900,CCNA1,TRUE,FALSE
546.0,23149,FCHO1,TRUE,FALSE
547.0,55561,CDC42BPG,TRUE,FALSE
548.0,253943,YTHDF3,TRUE,FALSE
549.0,10420,TESK2,TRUE,FALSE
550.0,7409,VAV1,TRUE,FALSE
551.0,4659,PPP1R12A,TRUE,FALSE
552.0,8711,TNK1,TRUE,FALSE
553.0,7037,TFRC,TRUE,FALSE
554.0,91526,ANKRD44,TRUE,FALSE
555.0,8444,DYRK3,TRUE,FALSE
556.0,85464,SSH2,TRUE,FALSE
557.0,2917,GRM7,TRUE,FALSE
558.0,7109,TRAPPC10,TRUE,FALSE
559.0,4627,MYH9,TRUE,FALSE
560.0,340156,MYLK4,TRUE,FALSE
561.0,166614,DCLK2,TRUE,FALSE
562.0,93377,OPALIN,TRUE,FALSE
563.0,9817,KEAP1,TRUE,FALSE
564.0,7170,TPM3,TRUE,FALSE
565.0,23102,TBC1D2B,TRUE,FALSE
566.0,64145,RBSN,TRUE,FALSE
567.0,4649,MYO9A,TRUE,FALSE
568.0,10383,TUBB4B,TRUE,FALSE
569.0,57118,CAMK1D,TRUE,FALSE
570.0,64147,KIF9,TRUE,FALSE
571.0,8916,HERC3,TRUE,FALSE
572.0,10640,EXOC5,TRUE,FALSE
573.0,2043,EPHA4,TRUE,FALSE
574.0,79616,CCNJL,TRUE,FALSE
575.0,160287,LDHAL6A,TRUE,FALSE
576.0,1758,DMP1,TRUE,FALSE
577.0,24137,KIF4A,TRUE,FALSE
578.0,4644,MYO5A,TRUE,FALSE
579.0,54961,SSH3,TRUE,FALSE
580.0,23762,OSBP2,TRUE,FALSE
581.0,55770,EXOC2,TRUE,FALSE
582.0,10123,ARL4C,TRUE,FALSE
